time,prediction
9300000,0.0010084321872098252
9300005,0.0008581386757753037
9300010,0.0005214265370955942
9300015,0.0011026702569195918
9300020,0.0011026702569195918
9300025,0.0011026702569195918
9300030,0.0010609524685773208
9300035,0.0005278237993724264
9300040,0.0007662920155189531
9300045,0.0008581386757753037
9300050,0.0005214265370955942
9300055,0.0010609524685773208
9300060,0.0011026702569195918
9300065,0.0008581386757753037
9300070,0.0005278237993724264
9300075,0.0011026702569195918
9300080,0.0008581386757753037
9300085,0.0005214265370955942
9300090,0.0007662920155189531
9300095,0.0010609524685773208
9300100,0.0008581386757753037
9300105,0.0005214265370955942
9300110,0.0008581386757753037
9300115,0.0011026702569195918
9300120,0.0007161366264597523
9300125,0.0010609524685773208
9300130,0.0005278237993724264
9300135,0.0008581386757753037
9300140,0.0006972024679548013
9300145,0.0011026702569195918
9300150,0.0006972024679548013
9300155,0.0004923708211224957
9300160,0.0006917575257266988
9300165,0.0007161366264597523
9300170,0.0008581386757753037
9300175,0.0007662920155189531
9300180,0.0004923708211224957
9300185,0.0006917575257266988
9300190,0.0011026702569195918
9300195,0.0011026702569195918
9300200,0.0011026702569195918
9300205,0.0010609524685773208
9300210,0.0004923708211224957
9300215,0.0006917575257266988
9300220,0.0011026702569195918
9300225,0.0005214265370955942
9300230,0.0008581386757753037
9300235,0.0004923708211224957
9300240,0.0011026702569195918
9300245,0.0011026702569195918
9300250,0.0007662920155189531
9300255,0.0006917575257266988
9300260,0.0011026702569195918
9300265,0.0010609524685773208
9300270,0.0004923708211224957
9300275,0.0006917575257266988
9300280,0.0011026702569195918
9300285,0.0007662920155189531
9300290,0.0007662920155189531
9300295,0.0011026702569195918
9300300,0.0005214265370955942
9300305,0.0011026702569195918
9300310,0.0007662920155189531
9300315,0.0006972024679548013
9300320,0.0006863490813557367
9300325,0.0004923708211224957
9300330,0.0006917575257266988
9300335,0.0007161366264597523
9300340,0.0011026702569195918
9300345,0.0007662920155189531
9300350,0.0007662920155189531
9300355,0.0011026702569195918
9300360,0.0011026702569195918
9300365,0.0010609524685773208
9300370,0.0007662920155189531
9300375,0.0010609524685773208
9300380,0.0004923708211224957
9300385,0.0006917575257266988
9300390,0.0011026702569195918
9300395,0.0007161366264597523
9300400,0.0006972024679548013
9300405,0.0011026702569195918
9300410,0.0006972024679548013
9300415,0.0007662920155189531
9300420,0.0010609524685773208
9300425,0.0011026702569195918
9300430,0.0011026702569195918
9300435,0.0007662920155189531
9300440,0.0007662920155189531
9300445,0.0010609524685773208
9300450,0.0011026702569195918
9300455,0.0011026702569195918
9300460,0.0006972024679548013
9300465,0.0011026702569195918
9300470,0.0007662920155189531
9300475,0.0011026702569195918
9300480,0.0011026702569195918
9300485,0.0011026702569195918
9300490,0.0010609524685773208
9300495,0.0011026702569195918
9300500,0.0011026702569195918
9300505,0.0010609524685773208
9300510,0.0010609524685773208
9300515,0.0010609524685773208
9300520,0.0011026702569195918
9300525,0.0011026702569195918
9300530,0.0011026702569195918
9300535,0.0007662920155189531
9300540,0.0007662920155189531
9300545,0.0011026702569195918
9300550,0.0007662920155189531
9300555,0.0011026702569195918
9300560,0.0007662920155189531
9300565,0.0004923708211224957
9300570,0.0006917575257266988
9300575,0.0006972024679548013
9300580,0.0007662920155189531
9300585,0.0011026702569195918
9300590,0.0007662920155189531
9300595,0.0011026702569195918
9300600,0.0006972024679548013
9300605,0.0011026702569195918
9300610,0.0007161366264597523
9300615,0.0008581386757753037
9300620,0.0011026702569195918
9300625,0.0007161366264597523
9300630,0.0004923708211224957
9300635,0.0006917575257266988
9300640,0.0004923708211224957
9300645,0.0006917575257266988
9300650,0.0007662920155189531
9300655,0.0011026702569195918
9300660,0.0004923708211224957
9300665,0.0006917575257266988
9300670,0.0011026702569195918
9300675,0.0011026702569195918
9300680,0.0007161366264597523
9300685,0.0011026702569195918
9300690,0.0011026702569195918
9300695,0.0007662920155189531
9300700,0.0011026702569195918
9300705,0.0007662920155189531
9300710,0.0007161366264597523
9300715,0.0011026702569195918
9300720,0.0011026702569195918
9300725,0.0011026702569195918
9300730,0.0007161366264597523
9300735,0.0011026702569195918
9300740,0.0006972024679548013
9300745,0.0007662920155189531
9300750,0.0007662920155189531
9300755,0.0004923708211224957
9300760,0.00047172018296207894
9300765,0.0006972024679548013
9300770,0.0011026702569195918
9300775,0.0007662920155189531
9300780,0.0011026702569195918
9300785,0.0004923708211224957
9300790,0.0011026702569195918
9300795,0.0006917575257266988
9300800,0.0010609524685773208
9300805,0.0003186023369338507
9300810,0.0006917575257266988
9300815,0.0011026702569195918
9300820,0.0005278237993724264
9300825,0.0008581386757753037
9300830,0.0011026702569195918
9300835,0.0011026702569195918
9300840,0.0007161366264597523
9300845,0.0006972024679548013
9300850,0.0011026702569195918
9300855,0.0011026702569195918
9300860,0.0007662920155189531
9300865,0.0007662920155189531
9300870,0.0004923708211224957
9300875,0.0006917575257266988
9300880,0.0010609524685773208
9300885,0.0011026702569195918
9300890,0.0010609524685773208
9300895,0.0006972024679548013
9300900,0.0007662920155189531
9300905,0.0011026702569195918
9300910,0.0006972024679548013
9300915,0.0011026702569195918
9300920,0.0006972024679548013
9300925,0.0004923708211224957
9300930,0.0006917575257266988
9300935,0.0011026702569195918
9300940,0.0004923708211224957
9300945,0.0006917575257266988
9300950,0.0006972024679548013
9300955,0.0011026702569195918
9300960,0.0011026702569195918
9300965,0.0007662920155189531
9300970,0.0011026702569195918
9300975,0.0007662920155189531
9300980,0.0008692060751153092
9300985,0.0007662920155189531
9300990,0.0010609524685773208
9300995,0.0004923708211224957
9301000,0.0006917575257266988
9301005,0.0011026702569195918
9301010,0.0007662920155189531
9301015,0.0011026702569195918
9301020,0.0007662920155189531
9301025,0.0007662920155189531
9301030,0.0011026702569195918
9301035,0.0004923708211224957
9301040,0.0006917575257266988
9301045,0.0007662920155189531
9301050,0.0007662920155189531
9301055,0.0011026702569195918
9301060,0.0007662920155189531
9301065,0.0006972024679548013
9301070,0.0005625717037957251
9301075,0.0007662920155189531
9301080,0.0010609524685773208
9301085,0.0011026702569195918
9301090,0.0006863490813557367
9301095,0.0010609524685773208
9301100,0.0011026702569195918
9301105,0.0007662920155189531
9301110,0.0011026702569195918
9301115,0.0011026702569195918
9301120,0.0007662920155189531
9301125,0.0011026702569195918
9301130,0.0007662920155189531
9301135,0.0006972024679548013
9301140,0.0004923708211224957
9301145,0.0006917575257266988
9301150,0.0007662920155189531
9301155,0.0006972024679548013
9301160,0.0011026702569195918
9301165,0.0007662920155189531
9301170,0.0007662920155189531
9301175,0.0006972024679548013
9301180,0.0010609524685773208
9301185,0.0006972024679548013
9301190,0.0011026702569195918
9301195,0.0010609524685773208
9301200,0.0006972024679548013
9301205,0.0007662920155189531
9301210,0.0011026702569195918
9301215,0.0010609524685773208
9301220,0.0011026702569195918
9301225,0.0008581386757753037
9301230,0.0011026702569195918
9301235,0.0007662920155189531
9301240,0.0005214265370955942
9301245,0.0011026702569195918
9301250,0.0008581386757753037
