Time,Predict
93000000,-0.00013643263
93000496,-0.00047470306
93001000,-0.00072825776
93001504,-0.00072825776
93002000,-0.00072825776
93002496,-0.00072825776
93003000,-0.00072825776
93003504,-0.00072825776
93004000,-0.00072825776
93004496,-0.00072825776
93005000,-0.00072825776
93005504,-0.00072825776
93006000,-0.00072825776
93006496,-0.00072825776
93007000,-0.00072825776
93007504,-0.00072825776
93008000,-0.00072825776
93008496,-0.000745949
93009000,-0.000745949
93009504,-0.000745949
93010000,-0.0005921338
93010496,-0.0005921338
93011000,-0.00054055685
93011504,-0.00054055685
93012000,-0.00054055685
93012496,-0.00054055685
93013000,-0.00054055685
93013504,-0.00054055685
93014000,-0.00054055685
93014496,-0.00054055685
93015000,-0.00054055685
93015504,-0.00054055685
93016000,-0.00054055685
93016496,-0.00054055685
93017000,-0.00054055685
93017504,-0.0005161602
93018000,-0.0009588965
93018496,-1.6666705e-05
93019000,-1.6666705e-05
93019504,-1.6666705e-05
93020000,-1.6666705e-05
93020496,-1.6666705e-05
93021000,-1.6666705e-05
93021504,-1.6666705e-05
93022000,-1.6666705e-05
93022496,-1.6666705e-05
93023000,-1.6666705e-05
93023504,-1.6666705e-05
93024000,-1.6666705e-05
93024496,-1.6666705e-05
93025000,-1.6666705e-05
93025504,-1.6666705e-05
93026000,-1.6666705e-05
93026496,-1.6666705e-05
93027000,-1.6666705e-05
93027504,-1.6666705e-05
93028000,-1.6666705e-05
93028496,-1.6666705e-05
93029000,-1.6666705e-05
93029504,-1.6666705e-05
93030000,-1.6666705e-05
93030496,-1.6666705e-05
93031000,-1.6666705e-05
93031504,-1.6666705e-05
93032000,-1.6666705e-05
93032496,-1.6666705e-05
93033000,-1.6666705e-05
93033504,-1.6666705e-05
93034000,-1.6666705e-05
93034496,-1.6666705e-05
93035000,-1.6666705e-05
93035504,-1.6666705e-05
93036000,-1.6666705e-05
93036496,-1.6666705e-05
93037000,-1.6666705e-05
93037504,-1.6666705e-05
93038000,-1.6666705e-05
93038496,-1.6666705e-05
93039000,-1.6666705e-05
93039504,-1.6666705e-05
93040000,-1.6666705e-05
93040496,-1.6666705e-05
93041000,-1.6666705e-05
93041504,-1.6666705e-05
93042000,-1.6666705e-05
93042496,-1.6666705e-05
93043000,-1.6666705e-05
93043504,-1.6666705e-05
93044000,-1.6666705e-05
93044496,-1.6666705e-05
93045000,-1.6666705e-05
93045504,-1.6666705e-05
93046000,-1.6666705e-05
93046496,-1.6666705e-05
93047000,-1.6666705e-05
93047504,-1.6666705e-05
93048000,-1.6666705e-05
93048496,-1.6666705e-05
93049000,-1.6666705e-05
93049504,-1.6666705e-05
93050000,-1.6666705e-05
93050496,-1.6666705e-05
93051000,-1.6666705e-05
93051504,-1.6666705e-05
93052000,-1.6666705e-05
93052496,-1.6666705e-05
93053000,-1.6666705e-05
93053504,-1.6666705e-05
93054000,-1.6666705e-05
93054496,-1.6666705e-05
93055000,-1.6666705e-05
93055504,-1.6666705e-05
93056000,-1.6666705e-05
93056496,-1.6666705e-05
93057000,-1.6666705e-05
93057504,-1.6666705e-05
93058000,-1.6666705e-05
93058496,-1.6666705e-05
93059000,-1.6666705e-05
93059504,-1.6666705e-05
93100000,-1.6666705e-05
93100496,-1.6666705e-05
93101000,-1.6666705e-05
93101504,-1.6666705e-05
93102000,-1.6666705e-05
93102496,-1.6666705e-05
93103000,-1.6666705e-05
93103504,-1.6666705e-05
93104000,-1.6666705e-05
93104496,-1.6666705e-05
93105000,-1.6666705e-05
93105504,-1.6666705e-05
93106000,-1.6666705e-05
93106496,-1.6666705e-05
93107000,-1.6666705e-05
93107504,-1.6666705e-05
93108000,-1.6666705e-05
93108496,-1.6666705e-05
93109000,-1.6666705e-05
93109504,-1.6666705e-05
93110000,-1.6666705e-05
93110496,-1.6666705e-05
93111000,-1.6666705e-05
93111504,-1.6666705e-05
93112000,-1.6666705e-05
93112496,-1.6666705e-05
93113000,-1.6666705e-05
93113504,-1.6666705e-05
93114000,-1.6666705e-05
93114496,-1.6666705e-05
93115000,-1.6666705e-05
93115504,-1.6666705e-05
93116000,-1.6666705e-05
93116496,-0.00012323559
93117000,-1.6666705e-05
93117504,-0.00012323559
93118000,-0.00012323559
93118496,-0.00012323559
93119000,-0.00012323559
93119504,-1.6666705e-05
93120000,-1.6666705e-05
