Time,Predict
93000000,0.0077616884
93000500,0.0040280386
93001000,0.0007646735
93001500,0.006808425
93002000,0.00014412985
93002500,0.005908522
93003000,0.0076967827
93003500,0.0016349689
93004000,0.008702485
93004500,0.0056678085
93005000,0.0017560974
93005500,0.003430087
93006000,-0.002465821
93006500,0.0030422136
93007000,0.0029412603
93007500,0.0014876354
93008000,0.0038537476
93008500,0.0006205637
93009000,0.0023354527
93009500,0.0029547424
93010000,0.0018800426
93010500,0.0024923917
93011000,0.0029839715
93011500,0.0020646795
93012000,0.002169201
93012500,0.004012642
93013000,0.0015611225
93013500,-0.0009924747
93014000,0.0043225316
93014500,0.0077255685
93015000,0.0022487743
93015500,0.0015804518
93016000,0.0025364086
93016500,0.0035341217
93017000,0.0019037594
93017500,0.0010850525
93018000,0.002109563
93018500,0.0021729553
93019000,0.0023958539
93019500,0.0036731472
93020000,0.001304612
93020500,0.0037414858
93021000,0.0031896653
93021500,0.0028135467
93022000,0.0009489106
93022500,0.008555888
93023000,0.001939203
93023500,0.006126818
93024000,0.004521823
93024500,0.0069971657
93025000,0.0022213797
93025500,0.0021273172
93026000,0.002071987
93026500,0.0014739438
93027000,0.0039560976
93027500,0.0014348272
93028000,0.0026748495
93028500,0.0033437621
93029000,0.0029301327
93029500,0.002719665
93030000,0.0029389947
93030500,0.0026479906
93031000,0.002838555
93031500,-0.0011413355
93032000,0.0023463215
93032500,0.0017038783
93033000,0.0021247056
93033500,0.0033211575
93034000,0.002583152
93034500,-0.0014848898
93035000,0.00091081456
93035500,0.0009954689
93036000,0.0014150395
93036500,0.0012078519
93037000,0.0006045217
93037500,0.0013573462
93038000,-0.001214546
93038500,0.0017266631
93039000,0.0043628626
93039500,0.0019546957
93040000,0.0044791047
93040500,0.0016499888
93041000,0.013530797
93041500,0.002313926
93042000,0.0011857114
93042500,0.0024467283
93043000,0.0031367273
93043500,0.006327803
93044000,0.003687906
93044500,0.0021880588
93045000,0.0015563305
93045500,0.0068457727
93046000,0.0053220047
93046500,0.0027249928
93047000,0.0024846173
